Coop Nära Amiralsgatan;Amiralsgatan 68;214 37; MALMÖ
Coop Konsum Höllviken;Falsterbovägen 70;236 51; HÖLLVIKEN
Coop Forum Kungsbacka;Hantverksgatan 27;534 42; KUNGSBACKA
ICA Maxi Högsbo;Lona Knapes gata 1;421 32; VÄSTRA FRÖLUNDA
ICA Maxi Torslanda;Gamla Flygplatsvägen 60;423 37; TORSLANDA
ICA Supermarket Högsbo;Axel Dahlströms Torg 2;414 80; GÖTEBORG
ICA Kvantum Frölunda;Radiovägen 5;421 47; VÄSTRA FRÖLUNDA
Coop Konsum Åhus;Järnvägsgatan 5;296 31; ÅHUS
Coop Konsum Sölvesborg;Järnvägsgatan 6;294 34; SÖLVESBORG
ICA Maxi Högskolan;Kristian IV:s väg 3;302 50; HALMSTAD
ICA Kvantum Munkebäck;Lilla Munkebäcksgatan 2A;416 72; GÖTEBORG
ICA Supermarket Servett;Almekärrsvägen 1;443 39; LERUM
ICA Supermarket Kärra;Kärra Centrum 25;425 34; HISINGSKÄRRA
ICA Kvantum Sannegården;Stenbocksgatan 4;417 58; GÖTEBORG
ICA Maxi Grafiska Vägen;Grafiska vägen 16;412 63; GÖTEBORG
ICA Hajen Varberg;Monarkvägen 2;432 40; VARBERG
Coop Forum Karlshamn;Strömmavägen 1;374 32; KARLSHAMN
Coop Konsum Kristianstad;Ö. Boulevarden 5;291 31; KRISTIANSTAD
Coop Konsum Mörrum;Sölvesborgsvägen 37;375 30; MÖRRUM
Coop Konsum Sommarlust;Almvägen 21;291 41; KRISTIANSTAD
Coop Konsum Karlshamn;Ronnebyvägen 1;374 34; KARLSHAMN
ICA Malmborgs Tuna;Tunavägen 39;223 63; LUND
ICA Kvantum Ystad;Missunnavägen 1;271 52; YSTAD
ICA Supermarket Trelleborg;Nygatan 36;231 43;  TRELLEBORG
Coop Konsum Kirseberg;Kirsebergs torg 7;212 20; MALMÖ
ICA Supermarket Hammenhög;Simrishamnsvägen 7;276 50; HAMMENHÖG
ICA Nära City HBG;Drottninggatan 46-48;252 21; HELSINGBORG
ICA Nära Borgen;Aschebergsgatan 3;254 39; HELSINGBORG
Coop Konsum Hörby;Slagtoftavägen 24;242 35; HÖRBY
Coop Konsum Asarum;Storgatan 29;374 52; ASARUM
Coop Forum Kållered;Ekenleden 4;428 36; KÅLLERED
Coop Konsum Avenyn;Kungsportsavenyn 39A;411 36; GÖTEBORG
Coop Forum Bäckebol;Transportgatan 19;422 46; HISINGS BACKA
Fruktservice i HBG AB;Lagervägen 4;224 34; ARLÖV
Coop Extra Skurup;Södergatan 31;274 00; SKURUP
Coop Konsum Tvååker;Fastarpsvägen 44;430 10; TVÅÅKER
Coop Konsum Friggagatan;Friggagatan 10A;411 01; GÖTEBORG
Coop Konsum Ystad;Stora Östergatan 4;2713 Y;TAD
ICA Kvantum Landvetter;Landvetter Centrum;438 32; LANDVETTER
Coop Konsum Surte;Göteborgsvägen 68;445 57; SURTE
ICA Kvantum Ale Torg;Ale Torg 7;449 31; NÖDINGE
Tältkrögarna i Örebro AB;;;
Coop Forum Askim;Hantverksvägen 4-8;436 33; ASKIM
Kommendanthusets Kafé;Båtbyggaregatan 240;216 42; LIMHAMN
Kvilles Hälsokost;Kvilletorget 16;417 04; GÖTEBORG
Coop Konsum Munkebäck;Munkebäckstorget 1;402 61; GÖTEBORG
Coop Forum Borås;Enedalsgatan 10;504 52; BORÅS
Coop Konsum Gamlestaden;Treviksgatan 2;415 01; GÖTEBORG
